,Phrase,Score
0,абсолютное преимущество,2
1,авиакомпания,0
2,автоматизация,1
3,авторизованный,0
4,агентство,0
5,агрессивная реклама,-2
6,адаптация к изменениям климата,2
7,адекватно,1
8,адекватность,1
9,адекватный,1
10,административный,0
11,административный барьер,-1
12,администрация ,0
13,акселератор экспортного роста,1
14,актив,0
15,активность,1
16,актуальный,1
17,акцизный сбор,0
18,акционер,0
19,акционерное общество,0
20,акционерный,0
21,акционерный капитал,0
22,акция,0
23,аморальный,-2
24,аннулирование,-2
25,аннулировать,-2
26,аномалия,-2
27,аномальный,-2
28,антиконкурентный,-1
29,антикоррупционный,1
30,антимонопольный,1
31,антитрестовский,1
32,апеллянт,0
33,апелляционный,0
34,апелляционный орган,0
35,апелляция,0
36,арбитраж,0
37,аргумент,0
38,аргументированный,1
39,аренда,0
40,арендная плата,0
41,арест,-2
42,арестовывать,-2
43,ассигнация,0
44,ассортимент,0
45,атакованный,-2
46,аудит,0
47,аудитор,0
48,аудиторское заключение,0
49,аффилированное лицо,0
50,баланс,0
51,балансовая стоимость,0
52,балансовая стоимость активов,0
53,балансовый ,0
54,бан,-1
55,банк,0
56,банк получателя,0
57,банковская карта,0
58,банковский,0
59,банковский ,0
60,банковскик перевод,0
61,банкомат,0
62,банкрот,-2
63,банкротство,-2
64,баррель нефти,0
65,барьер,-1
66,беглец,-2
67,беда,-2
68,бедный,-1
69,бедственный,-2
70,бедствие,-2
71,без объяснения причин,-1
72,безвозвратно,-1
73,безвозмездно,1
74,безвозмездный,1
75,бездействие,-1
76,безнадёжная задолженность,-2
77,безнадёжный к взысканию,-2
78,безопасность,1
79,безопасность труда в промышленности,1
80,безопасный,1
81,безработица,-1
82,безработный,-1
83,безрассудный,-1
84,безрассудство,-1
85,безрезультатно,-1
86,безымянный,-1
87,бенифициар,1
88,бесконтрольно,-1
89,бескорыстие,1
90,бескорыстно,1
91,беспечно,-1
92,беспечный,-1
93,беспокоить,-1
94,беспокойный,-1
95,беспокойство,-1
96,бесполезный,-1
97,беспорядки,-2
98,беспорядочно,-1
99,бесславно,-1
100,бессовестно,-2
101,бессовестный,-2
102,бессознательно,0
103,бесчестие,-2
104,бесчестно,-2
105,бесчестный,-2
106,бесчинство,-1
107,бизнес,0
